@RELATION Falls
@ATTRIBUTE class {Faller,NonFaller}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@DATA
NonFaller,0.000000,0.238590,0.368192,0.250567,0.083521,0.034528,0.016187,0.004305,0.002466,0.000000,0.001644,3.161536,0.591801,0.000000,0.246412,0.376962,0.183510,0.112484,0.049662,0.016942,0.005845,0.001169,0.004676,0.002338,10.092727,0.874442
NonFaller,0.000000,0.063816,0.235235,0.200687,0.135192,0.120991,0.088986,0.072609,0.050254,0.025635,0.006594,1.869049,0.295779,0.000000,0.137199,0.306759,0.184301,0.159425,0.074765,0.063469,0.039875,0.015476,0.010750,0.007980,1.771775,0.402769
NonFaller,0.000000,0.124285,0.322830,0.311768,0.145996,0.056284,0.012014,0.011735,0.010059,0.000000,0.005029,29.684798,1.804080,0.000000,0.135831,0.411113,0.255538,0.090443,0.045377,0.036676,0.013447,0.000000,0.003865,0.007710,23.226944,1.297338
NonFaller,0.000000,0.110120,0.264980,0.246886,0.185441,0.080093,0.055515,0.019761,0.019488,0.008858,0.008858,5.391146,0.554794,0.000000,0.175820,0.292279,0.219537,0.119456,0.087590,0.053887,0.028994,0.017300,0.002919,0.002218,45.470150,1.347377
NonFaller,0.000000,0.198141,0.312688,0.314684,0.093170,0.039344,0.018818,0.009158,0.009365,0.002315,0.002315,4.337899,0.984576,0.000000,0.142485,0.243967,0.214764,0.150838,0.121711,0.060874,0.041272,0.015456,0.003453,0.005180,19.990818,0.906602
NonFaller,0.000000,0.219172,0.238537,0.149815,0.065279,0.039661,0.125196,0.154724,0.004090,0.000881,0.002642,8.155878,0.774999,0.000000,0.300218,0.313264,0.231909,0.105537,0.024773,0.012037,0.006131,0.001533,0.000000,0.004598,12.011916,0.989409
NonFaller,0.000000,0.102508,0.211100,0.266584,0.195382,0.116387,0.050576,0.029523,0.013720,0.008672,0.005546,25.116489,0.339309,0.000000,0.158151,0.318776,0.250825,0.134605,0.099305,0.026423,0.003972,0.001986,0.000000,0.005958,94.408651,0.713636
NonFaller,0.001710,0.171793,0.264773,0.185598,0.136593,0.107361,0.060820,0.041050,0.014674,0.012130,0.003498,5.880366,0.659147,0.000000,0.166393,0.305377,0.225830,0.148942,0.061083,0.043268,0.020464,0.013273,0.005340,0.010029,5.061520,0.544785
NonFaller,0.000000,0.121158,0.227172,0.201326,0.203996,0.120082,0.088654,0.022432,0.008173,0.005838,0.001168,7.909332,0.452063,0.000000,0.277319,0.382559,0.197440,0.075321,0.045940,0.019103,0.002162,0.000062,0.000000,0.000093,15.913902,0.863504
NonFaller,0.000000,0.303024,0.351215,0.178684,0.112728,0.031564,0.010516,0.003505,0.001753,0.001753,0.005258,3.966555,0.807033,0.000000,0.352202,0.372079,0.152484,0.060579,0.030378,0.020885,0.005696,0.000000,0.001899,0.003797,9.145797,1.152106
NonFaller,0.001902,0.100507,0.209679,0.223931,0.180757,0.136029,0.073558,0.035600,0.017830,0.010698,0.009509,10.304272,0.732275,0.001830,0.137487,0.225004,0.225475,0.161992,0.104047,0.071128,0.032849,0.027382,0.010979,0.001827,25.875559,1.645209
